step,sample,cs1_code,cs2_code,adc_raw,adc_value,sot
0,0,0,31500,0000000001,1,0
0,1,0,31500,0000000011,3,0
0,2,0,31500,0000000011,3,0
0,3,0,31500,0000000001,1,0
0,4,0,31500,0000000001,1,0
0,5,0,31500,0000000011,3,0
0,6,0,31500,0000000100,4,0
0,7,0,31500,0000000011,3,0
0,8,0,31500,0000000000,0,0
0,9,0,31500,0000000010,2,0
0,10,0,31500,0000000010,2,0
0,11,0,31500,0000000011,3,0
0,12,0,31500,0000000001,1,0
0,13,0,31500,0000000001,1,0
0,14,0,31500,0000000011,3,0
0,15,0,31500,0011111111,255,0
0,16,0,31500,0000001010,10,0
0,17,0,31500,0000000110,6,0
0,18,0,31500,0000000011,3,0
0,19,0,31500,0000000010,2,0
0,20,0,31500,0000000010,2,0
0,21,0,31500,0000000011,3,0
0,22,0,31500,0000001001,9,0
0,23,0,31500,0000000011,3,0
0,24,0,31500,0000000010,2,0
0,25,0,31500,0000000011,3,0
0,26,0,31500,0000000011,3,0
0,27,0,31500,0000000011,3,0
0,28,0,31500,0000000011,3,0
0,29,0,31500,0000000011,3,0
0,30,0,31500,0000000011,3,0
0,31,0,31500,0000000010,2,0
0,32,0,31500,0000000010,2,0
0,33,0,31500,0000000011,3,0
0,34,0,31500,0000000010,2,0
0,35,0,31500,0000000011,3,0
0,36,0,31500,0000000110,6,0
0,37,0,31500,0000000011,3,0
0,38,0,31500,0000000011,3,0
0,39,0,31500,0000000001,1,0
0,40,0,31500,0011111111,255,0
0,41,0,31500,0000000000,0,0
0,42,0,31500,0000000000,0,0
0,43,0,31500,0000000100,4,0
0,44,0,31500,0111111111,511,0
0,45,0,31500,0000000100,4,0
0,46,0,31500,0000000011,3,0
0,47,0,31500,0000000001,1,0
0,48,0,31500,0000000001,1,0
0,49,0,31500,0000000110,6,0
1,0,20,31480,0000000001,1,0
1,1,20,31480,0000000100,4,0
1,2,20,31480,0000001010,10,0
1,3,20,31480,0000000001,1,0
1,4,20,31480,0000000011,3,0
1,5,20,31480,0000000100,4,0
1,6,20,31480,0000000010,2,0
1,7,20,31480,0000000100,4,0
1,8,20,31480,0000000011,3,0
1,9,20,31480,0111111111,511,0
1,10,20,31480,0000000100,4,0
1,11,20,31480,0000000011,3,0
1,12,20,31480,0000000011,3,0
1,13,20,31480,0000000100,4,0
1,14,20,31480,0000000011,3,0
1,15,20,31480,0000000100,4,0
1,16,20,31480,0000000011,3,0
1,17,20,31480,0000000010,2,0
1,18,20,31480,0000000011,3,0
1,19,20,31480,0000000110,6,0
1,20,20,31480,0000000010,2,0
1,21,20,31480,0000000100,4,0
1,22,20,31480,0000000100,4,0
1,23,20,31480,0000000011,3,0
1,24,20,31480,0000001010,10,0
1,25,20,31480,0000000010,2,0
1,26,20,31480,0000000100,4,0
1,27,20,31480,0000000110,6,0
1,28,20,31480,0000000010,2,0
1,29,20,31480,0000000100,4,0
1,30,20,31480,0000000100,4,0
1,31,20,31480,0000000011,3,0
1,32,20,31480,0000000101,5,0
1,33,20,31480,0000000011,3,0
1,34,20,31480,0000000011,3,0
1,35,20,31480,0000000100,4,0
1,36,20,31480,0000000010,2,0
1,37,20,31480,0000000011,3,0
1,38,20,31480,0000000100,4,0
1,39,20,31480,0000000011,3,0
1,40,20,31480,0000000011,3,0
1,41,20,31480,0000000100,4,0
1,42,20,31480,0000000100,4,0
1,43,20,31480,0000000100,4,0
1,44,20,31480,0000000100,4,0
1,45,20,31480,0000000011,3,0
1,46,20,31480,0000111111,63,0
1,47,20,31480,0000000100,4,0
1,48,20,31480,0000000101,5,0
1,49,20,31480,0000000100,4,0
2,0,40,31460,0000000100,4,0
2,1,40,31460,0000000100,4,0
2,2,40,31460,0000000100,4,0
2,3,40,31460,0000000111,7,0
2,4,40,31460,0000000010,2,0
2,5,40,31460,0000000010,2,0
2,6,40,31460,0000000011,3,0
2,7,40,31460,0000000100,4,0
2,8,40,31460,0000000100,4,0
2,9,40,31460,0000000011,3,0
2,10,40,31460,0000000110,6,0
2,11,40,31460,0000000100,4,0
2,12,40,31460,0000000100,4,0
2,13,40,31460,0000000100,4,0
2,14,40,31460,0000000100,4,0
2,15,40,31460,0000000100,4,0
2,16,40,31460,0000000100,4,0
2,17,40,31460,0000000101,5,0
2,18,40,31460,0000001000,8,0
2,19,40,31460,0000000100,4,0
2,20,40,31460,0000001000,8,0
2,21,40,31460,0000000101,5,0
2,22,40,31460,0000000100,4,0
2,23,40,31460,0000000011,3,0
2,24,40,31460,0000000011,3,0
2,25,40,31460,0000000010,2,0
2,26,40,31460,0000000010,2,0
2,27,40,31460,0000000111,7,0
2,28,40,31460,0000000011,3,0
2,29,40,31460,0000001011,11,0
2,30,40,31460,0000000100,4,0
2,31,40,31460,0000000101,5,0
2,32,40,31460,0000001011,11,0
2,33,40,31460,0000000100,4,0
2,34,40,31460,0000000100,4,0
2,35,40,31460,0000000100,4,0
2,36,40,31460,0000000100,4,0
2,37,40,31460,0000000111,7,0
2,38,40,31460,0000000010,2,0
2,39,40,31460,0000000011,3,0
2,40,40,31460,0000001000,8,0
2,41,40,31460,0000000100,4,0
2,42,40,31460,0000000100,4,0
2,43,40,31460,0000000100,4,0
2,44,40,31460,0000000011,3,0
2,45,40,31460,0000000010,2,0
2,46,40,31460,0000001010,10,0
2,47,40,31460,0000000011,3,0
2,48,40,31460,0000000100,4,0
2,49,40,31460,0000000100,4,0
3,0,60,31440,0000000101,5,0
3,1,60,31440,0000001000,8,0
3,2,60,31440,0000000101,5,0
3,3,60,31440,0000000011,3,0
3,4,60,31440,0000000110,6,0
3,5,60,31440,0000000100,4,0
3,6,60,31440,0000000101,5,0
3,7,60,31440,0000000101,5,0
3,8,60,31440,0000001111,15,0
3,9,60,31440,0000000010,2,0
3,10,60,31440,0000000100,4,0
3,11,60,31440,0000000100,4,0
3,12,60,31440,0000001011,11,0
3,13,60,31440,0000000101,5,0
3,14,60,31440,0000001100,12,0
3,15,60,31440,0000000011,3,0
3,16,60,31440,0000000100,4,0
3,17,60,31440,0000000100,4,0
3,18,60,31440,0000000100,4,0
3,19,60,31440,0000000110,6,0
3,20,60,31440,0000000101,5,0
3,21,60,31440,0000000111,7,0
3,22,60,31440,0000000101,5,0
3,23,60,31440,0000000110,6,0
3,24,60,31440,0000001000,8,0
3,25,60,31440,0000001000,8,0
3,26,60,31440,0000000011,3,0
3,27,60,31440,0000000100,4,0
3,28,60,31440,0000000110,6,0
3,29,60,31440,0000000100,4,0
3,30,60,31440,0000000110,6,0
3,31,60,31440,0000000100,4,0
3,32,60,31440,0000000100,4,0
3,33,60,31440,0000000011,3,0
3,34,60,31440,0000000100,4,0
3,35,60,31440,0000000100,4,0
3,36,60,31440,0000000101,5,0
3,37,60,31440,0000000100,4,0
3,38,60,31440,0000000101,5,0
3,39,60,31440,0000000110,6,0
3,40,60,31440,0000000101,5,0
3,41,60,31440,0000000111,7,0
3,42,60,31440,0000000011,3,0
3,43,60,31440,0000000100,4,0
3,44,60,31440,0000000010,2,0
3,45,60,31440,0000001100,12,0
3,46,60,31440,0000001100,12,0
3,47,60,31440,0000000100,4,0
3,48,60,31440,0000000101,5,0
3,49,60,31440,0000001000,8,0
4,0,80,31420,0000000110,6,0
4,1,80,31420,0000000111,7,0
4,2,80,31420,0000000101,5,0
4,3,80,31420,0000000101,5,0
4,4,80,31420,0000000110,6,0
4,5,80,31420,0000000011,3,0
4,6,80,31420,0000000110,6,0
4,7,80,31420,0000000101,5,0
4,8,80,31420,0000000110,6,0
4,9,80,31420,0000000101,5,0
4,10,80,31420,0000000101,5,0
4,11,80,31420,0000000101,5,0
4,12,80,31420,0000000110,6,0
4,13,80,31420,0000001000,8,0
4,14,80,31420,0000000100,4,0
4,15,80,31420,0000001100,12,0
4,16,80,31420,0000000110,6,0
4,17,80,31420,0000001101,13,0
4,18,80,31420,0000000110,6,0
4,19,80,31420,0000000110,6,0
4,20,80,31420,0000001000,8,0
4,21,80,31420,0000000101,5,0
4,22,80,31420,0000000100,4,0
4,23,80,31420,0000000110,6,0
4,24,80,31420,0000000101,5,0
4,25,80,31420,0000000101,5,0
4,26,80,31420,0000000110,6,0
4,27,80,31420,0000000101,5,0
4,28,80,31420,0000001000,8,0
4,29,80,31420,0000001100,12,0
4,30,80,31420,0000111111,63,0
4,31,80,31420,0000000101,5,0
4,32,80,31420,0000000110,6,0
4,33,80,31420,0000000100,4,0
4,34,80,31420,0000000111,7,0
4,35,80,31420,0000000101,5,0
4,36,80,31420,0000000011,3,0
4,37,80,31420,0000000101,5,0
4,38,80,31420,0000000110,6,0
4,39,80,31420,0000000110,6,0
4,40,80,31420,0000001001,9,0
4,41,80,31420,0000000110,6,0
4,42,80,31420,0000001100,12,0
4,43,80,31420,0000000101,5,0
4,44,80,31420,0000001000,8,0
4,45,80,31420,0000000100,4,0
4,46,80,31420,0000000110,6,0
4,47,80,31420,0000000110,6,0
4,48,80,31420,0000000101,5,0
4,49,80,31420,0000000110,6,0
5,0,100,31400,0000111111,63,0
5,1,100,31400,0000000110,6,0
5,2,100,31400,0000000110,6,0
5,3,100,31400,0000000111,7,0
5,4,100,31400,0000000110,6,0
5,5,100,31400,0111111111,511,0
5,6,100,31400,0000000111,7,0
5,7,100,31400,0000001001,9,0
5,8,100,31400,0000000110,6,0
5,9,100,31400,0000000110,6,0
5,10,100,31400,0000000111,7,0
5,11,100,31400,0000000110,6,0
5,12,100,31400,0000000111,7,0
5,13,100,31400,0000000101,5,0
5,14,100,31400,0000000111,7,0
5,15,100,31400,0000000110,6,0
5,16,100,31400,0000000111,7,0
5,17,100,31400,0000001010,10,0
5,18,100,31400,0000000110,6,0
5,19,100,31400,0000000110,6,0
5,20,100,31400,0000000110,6,0
5,21,100,31400,0000001001,9,0
5,22,100,31400,0000000110,6,0
5,23,100,31400,0000000110,6,0
5,24,100,31400,0000001101,13,0
5,25,100,31400,0000001001,9,0
5,26,100,31400,0000000110,6,0
5,27,100,31400,0000000100,4,0
5,28,100,31400,0000000110,6,0
5,29,100,31400,0000000111,7,0
5,30,100,31400,0000001001,9,0
5,31,100,31400,0000000111,7,0
5,32,100,31400,0000000100,4,0
5,33,100,31400,0000000110,6,0
5,34,100,31400,0000001000,8,0
5,35,100,31400,0000000110,6,0
5,36,100,31400,0000000111,7,0
5,37,100,31400,0000000110,6,0
5,38,100,31400,0000000110,6,0
5,39,100,31400,0000001000,8,0
5,40,100,31400,0000000111,7,0
5,41,100,31400,0000000100,4,0
5,42,100,31400,0000000110,6,0
5,43,100,31400,0000000110,6,0
5,44,100,31400,0000000101,5,0
5,45,100,31400,0000000101,5,0
5,46,100,31400,0000000110,6,0
5,47,100,31400,0000000111,7,0
5,48,100,31400,0000001001,9,0
5,49,100,31400,0000001110,14,0
6,0,120,31380,0000001000,8,0
