step,sample,cs1_code,cs2_code,adc_raw,adc_value,sot
0,0,0,31500,0000000011,3,0
0,1,0,31500,0000000010,2,0
0,2,0,31500,0000000011,3,0
0,3,0,31500,0000000001,1,0
0,4,0,31500,0000000000,0,0
0,5,0,31500,0000000010,2,0
1,0,1000,30500,0000100011,35,0
1,1,1000,30500,0000100010,34,0
1,2,1000,30500,0000100011,35,0
1,3,1000,30500,0000100001,33,0
1,4,1000,30500,0000100100,36,0
1,5,1000,30500,0000100010,34,0
2,0,2000,29500,0001000100,68,0
2,1,2000,29500,0001000011,67,0
2,2,2000,29500,0001000011,67,0
2,3,2000,29500,0001000011,67,0
2,4,2000,29500,0001000101,69,0
2,5,2000,29500,0001001111,79,0
3,0,3000,28500,0001100101,101,0
3,1,3000,28500,0001100011,99,0
3,2,3000,28500,0001101000,104,0
3,3,3000,28500,0001101001,105,0
3,4,3000,28500,0001100011,99,0
3,5,3000,28500,0001100011,99,0
4,0,4000,27500,0010000110,134,0
4,1,4000,27500,0010000100,132,0
4,2,4000,27500,0010000100,132,0
4,3,4000,27500,0010000100,132,0
4,4,4000,27500,0010000011,131,0
4,5,4000,27500,0010000110,134,0
5,0,5000,26500,0010100010,162,0
5,1,5000,26500,0010100101,165,0
5,2,5000,26500,0010100011,163,0
5,3,5000,26500,0010100010,162,0
5,4,5000,26500,0010100011,163,0
5,5,5000,26500,0010100011,163,0
6,0,6000,25500,0011000100,196,0
6,1,6000,25500,0011000100,196,0
6,2,6000,25500,0011000100,196,0
6,3,6000,25500,0011000100,196,0
6,4,6000,25500,0011000010,194,0
6,5,6000,25500,0011000100,196,0
7,0,7000,24500,0011100010,226,0
7,1,7000,24500,0011100111,231,0
7,2,7000,24500,0001111111,127,0
7,3,7000,24500,0011100010,226,0
7,4,7000,24500,0011100100,228,0
7,5,7000,24500,0011100100,228,0
8,0,8000,23500,0100000110,262,0
8,1,8000,23500,0100000110,262,0
8,2,8000,23500,0100000111,263,0
8,3,8000,23500,0100000101,261,0
8,4,8000,23500,0100000110,262,0
8,5,8000,23500,0100000110,262,0
9,0,9000,22500,0100100110,294,0
9,1,9000,22500,0100100100,292,0
9,2,9000,22500,0100100111,295,0
9,3,9000,22500,0100100101,293,0
9,4,9000,22500,0100100110,294,0
9,5,9000,22500,0100100100,292,0
10,0,10000,21500,0101000110,326,0
10,1,10000,21500,0101001010,330,0
10,2,10000,21500,0101000100,324,0
10,3,10000,21500,0101000110,326,0
10,4,10000,21500,0101000110,326,0
10,5,10000,21500,0101000110,326,0
11,0,11000,20500,0101100110,358,0
11,1,11000,20500,0101100111,359,0
11,2,11000,20500,0101011111,351,0
11,3,11000,20500,0101100110,358,0
11,4,11000,20500,0101100110,358,0
11,5,11000,20500,0101100110,358,0
12,0,12000,19500,0110001000,392,0
12,1,12000,19500,0110000110,390,0
12,2,12000,19500,0101111111,383,0
12,3,12000,19500,0110000111,391,0
12,4,12000,19500,0110001000,392,0
12,5,12000,19500,0110000110,390,0
13,0,13000,18500,0110100111,423,0
13,1,13000,18500,0110101010,426,0
13,2,13000,18500,0110100101,421,0
13,3,13000,18500,0110100101,421,0
13,4,13000,18500,0110101001,425,0
13,5,13000,18500,0110100111,423,0
14,0,14000,17500,0111000111,455,0
14,1,14000,17500,0111001000,456,0
14,2,14000,17500,0111000111,455,0
14,3,14000,17500,0111000110,454,0
14,4,14000,17500,0111000111,455,0
14,5,14000,17500,0111001000,456,0
15,0,15000,16500,0111100111,487,0
15,1,15000,16500,0111101000,488,0
15,2,15000,16500,0111100111,487,0
15,3,15000,16500,0111100111,487,0
15,4,15000,16500,0111100110,486,0
15,5,15000,16500,0111100111,487,0
16,0,16000,15500,1000001001,521,0
16,1,16000,15500,1000001001,521,0
16,2,16000,15500,1000001000,520,0
16,3,16000,15500,1000001011,523,0
16,4,16000,15500,1000001000,520,0
16,5,16000,15500,1000001001,521,0
17,0,17000,14500,1000101000,552,0
17,1,17000,14500,1000101000,552,0
17,2,17000,14500,1000101000,552,0
17,3,17000,14500,1000101000,552,0
17,4,17000,14500,1000101000,552,0
17,5,17000,14500,1000101000,552,0
18,0,18000,13500,1001001000,584,0
18,1,18000,13500,1000111111,575,0
18,2,18000,13500,1001001001,585,0
18,3,18000,13500,1001001001,585,0
18,4,18000,13500,1001001001,585,0
18,5,18000,13500,1001001001,585,0
19,0,19000,12500,1001101001,617,0
19,1,19000,12500,1001101000,616,0
19,2,19000,12500,1001101001,617,0
19,3,19000,12500,1001101001,617,0
19,4,19000,12500,1001101010,618,0
19,5,19000,12500,1001101001,617,0
20,0,20000,11500,1010001010,650,0
