step,sample,cs1_code,cs2_code,adc_raw,adc_value,sot
0,0,0,31500,0000001100,12,0
0,1,0,31500,0000001100,12,0
0,2,0,31500,0000001100,12,0
0,3,0,31500,0000000110,6,0
0,4,0,31500,0000000110,6,0
0,5,0,31500,0000000110,6,0
0,6,0,31500,0000000111,7,0
0,7,0,31500,0000000100,4,0
0,8,0,31500,0000000011,3,0
0,9,0,31500,0000000110,6,0
0,10,0,31500,0000000100,4,0
0,11,0,31500,0000000100,4,0
0,12,0,31500,0000000101,5,0
0,13,0,31500,0000000101,5,0
0,14,0,31500,0000000100,4,0
0,15,0,31500,0000000011,3,0
0,16,0,31500,0000000011,3,0
0,17,0,31500,0000000011,3,0
0,18,0,31500,0000000011,3,0
0,19,0,31500,0000000011,3,0
1,0,100,31400,0000001000,8,0
1,1,100,31400,0000000111,7,0
1,2,100,31400,0000000111,7,0
1,3,100,31400,0000000110,6,0
1,4,100,31400,0000000101,5,0
1,5,100,31400,0000000111,7,0
1,6,100,31400,0000000111,7,0
1,7,100,31400,0000001000,8,0
1,8,100,31400,0000000011,3,0
1,9,100,31400,0000000111,7,0
1,10,100,31400,0000000110,6,0
1,11,100,31400,0000000110,6,0
1,12,100,31400,0000000111,7,0
1,13,100,31400,0000000111,7,0
1,14,100,31400,0000000111,7,0
1,15,100,31400,0000001000,8,0
1,16,100,31400,0000001000,8,0
1,17,100,31400,0000001001,9,0
1,18,100,31400,0000000111,7,0
1,19,100,31400,0000000111,7,0
2,0,200,31300,0000001010,10,0
2,1,200,31300,0000001101,13,0
2,2,200,31300,0000001101,13,0
2,3,200,31300,0000001100,12,0
2,4,200,31300,0000001010,10,0
2,5,200,31300,0000001011,11,0
2,6,200,31300,0000001010,10,0
2,7,200,31300,0000001011,11,0
2,8,200,31300,0000001001,9,0
2,9,200,31300,0000001001,9,0
2,10,200,31300,0000001010,10,0
2,11,200,31300,0000001010,10,0
2,12,200,31300,0000000111,7,0
2,13,200,31300,0000001010,10,0
2,14,200,31300,0000001100,12,0
2,15,200,31300,0000001000,8,0
2,16,200,31300,0000001001,9,0
2,17,200,31300,0000001010,10,0
2,18,200,31300,0000001010,10,0
2,19,200,31300,0000001010,10,0
3,0,300,31200,0000010010,18,0
3,1,300,31200,0000010010,18,0
3,2,300,31200,0000010010,18,0
3,3,300,31200,0000001110,14,0
3,4,300,31200,0000010110,22,0
3,5,300,31200,0000010111,23,0
3,6,300,31200,0000010111,23,0
3,7,300,31200,0000010111,23,0
3,8,300,31200,0000010001,17,0
3,9,300,31200,0000001111,15,0
3,10,300,31200,0000001110,14,0
3,11,300,31200,0000010001,17,0
3,12,300,31200,0000010010,18,0
3,13,300,31200,0000001110,14,0
3,14,300,31200,0000001110,14,0
3,15,300,31200,0000001110,14,0
3,16,300,31200,0000010001,17,0
3,17,300,31200,0000010010,18,0
3,18,300,31200,0000001111,15,0
3,19,300,31200,0000001111,15,0
4,0,400,31100,0000010011,19,0
4,1,400,31100,0000010010,18,0
4,2,400,31100,0000010011,19,0
4,3,400,31100,0000010011,19,0
4,4,400,31100,0000010100,20,0
4,5,400,31100,0000010010,18,0
4,6,400,31100,0000010010,18,0
4,7,400,31100,0000010010,18,0
4,8,400,31100,0000010010,18,0
4,9,400,31100,0000010010,18,0
4,10,400,31100,0000001110,14,0
4,11,400,31100,0000010011,19,0
4,12,400,31100,0000001111,15,0
4,13,400,31100,0000010010,18,0
4,14,400,31100,0000010001,17,0
4,15,400,31100,0000010001,17,0
4,16,400,31100,0000010010,18,0
4,17,400,31100,0000010001,17,0
4,18,400,31100,0000010010,18,0
4,19,400,31100,0000010011,19,0
5,0,500,31000,0000010111,23,0
5,1,500,31000,0000011111,31,0
5,2,500,31000,0000011111,31,0
5,3,500,31000,0000011001,25,0
5,4,500,31000,0000011000,24,0
5,5,500,31000,0000011001,25,0
5,6,500,31000,0000011001,25,0
5,7,500,31000,0000011000,24,0
5,8,500,31000,0000011000,24,0
5,9,500,31000,0000011000,24,0
5,10,500,31000,0000010110,22,0
5,11,500,31000,0000010110,22,0
5,12,500,31000,0000011000,24,0
5,13,500,31000,0000011001,25,0
5,14,500,31000,0000010110,22,0
5,15,500,31000,0000010110,22,0
5,16,500,31000,0000010101,21,0
5,17,500,31000,0000010110,22,0
5,18,500,31000,0000010110,22,0
5,19,500,31000,0000010101,21,0
6,0,600,30900,0000011100,28,0
6,1,600,30900,0000011010,26,0
6,2,600,30900,0000011010,26,0
6,3,600,30900,0000011010,26,0
6,4,600,30900,0000011000,24,0
6,5,600,30900,0000011000,24,0
6,6,600,30900,0000011001,25,0
6,7,600,30900,0000011001,25,0
6,8,600,30900,0000011000,24,0
6,9,600,30900,0000011001,25,0
6,10,600,30900,0000011000,24,0
6,11,600,30900,0000011000,24,0
6,12,600,30900,0000011001,25,0
6,13,600,30900,0000011001,25,0
6,14,600,30900,0000010110,22,0
6,15,600,30900,0000010110,22,0
6,16,600,30900,0000010101,21,0
6,17,600,30900,0000010110,22,0
6,18,600,30900,0000011000,24,0
6,19,600,30900,0000010111,23,0
7,0,700,30800,0000011100,28,0
7,1,700,30800,0000011101,29,0
7,2,700,30800,0000011100,28,0
7,3,700,30800,0000011100,28,0
7,4,700,30800,0000011101,29,0
7,5,700,30800,0000100000,32,0
7,6,700,30800,0000011100,28,0
7,7,700,30800,0000011101,29,0
7,8,700,30800,0000011100,28,0
7,9,700,30800,0000100010,34,0
7,10,700,30800,0000100010,34,0
7,11,700,30800,0000011101,29,0
7,12,700,30800,0000011110,30,0
7,13,700,30800,0000011101,29,0
7,14,700,30800,0000011101,29,0
7,15,700,30800,0000011100,28,0
7,16,700,30800,0000100000,32,0
7,17,700,30800,0000011111,31,0
7,18,700,30800,0000011111,31,0
7,19,700,30800,0000011100,28,0
8,0,800,30700,0000011110,30,0
8,1,800,30700,0000100001,33,0
8,2,800,30700,0000100001,33,0
8,3,800,30700,0000100001,33,0
8,4,800,30700,0000100000,32,0
8,5,800,30700,0000011111,31,0
8,6,800,30700,0000100000,32,0
8,7,800,30700,0000100000,32,0
8,8,800,30700,0000011111,31,0
8,9,800,30700,0000100000,32,0
8,10,800,30700,0000011111,31,0
8,11,800,30700,0000011111,31,0
8,12,800,30700,0000011111,31,0
8,13,800,30700,0000100000,32,0
8,14,800,30700,0000100000,32,0
8,15,800,30700,0000011110,30,0
8,16,800,30700,0000100000,32,0
8,17,800,30700,0000011111,31,0
8,18,800,30700,0000011111,31,0
8,19,800,30700,0000011111,31,0
9,0,900,30600,0000100000,32,0
9,1,900,30600,0000100000,32,0
9,2,900,30600,0000100000,32,0
9,3,900,30600,0000100000,32,0
9,4,900,30600,0000100000,32,0
9,5,900,30600,0000100000,32,0
9,6,900,30600,0000100001,33,0
9,7,900,30600,0000100000,32,0
9,8,900,30600,0000100000,32,0
9,9,900,30600,0000100000,32,0
9,10,900,30600,0000100000,32,0
9,11,900,30600,0000100000,32,0
9,12,900,30600,0000100101,37,0
9,13,900,30600,0000100000,32,0
9,14,900,30600,0000100000,32,0
9,15,900,30600,0000100111,39,0
9,16,900,30600,0000100111,39,0
9,17,900,30600,0000101000,40,0
9,18,900,30600,0000100111,39,0
9,19,900,30600,0000100001,33,0
10,0,1000,30500,0000101010,42,0
10,1,1000,30500,0000100101,37,0
10,2,1000,30500,0000100101,37,0
10,3,1000,30500,0000100101,37,0
10,4,1000,30500,0000100100,36,0
10,5,1000,30500,0000100011,35,0
10,6,1000,30500,0000100110,38,0
10,7,1000,30500,0000100011,35,0
10,8,1000,30500,0000100110,38,0
10,9,1000,30500,0000100110,38,0
10,10,1000,30500,0000100110,38,0
10,11,1000,30500,0000100110,38,0
10,12,1000,30500,0000100100,36,0
10,13,1000,30500,0000100100,36,0
10,14,1000,30500,0000100011,35,0
10,15,1000,30500,0000100010,34,0
10,16,1000,30500,0000100010,34,0
10,17,1000,30500,0000100011,35,0
10,18,1000,30500,0000100011,35,0
10,19,1000,30500,0000100011,35,0
11,0,1100,30400,0000100110,38,0
11,1,1100,30400,0000100100,36,0
11,2,1100,30400,0000100011,35,0
11,3,1100,30400,0000100011,35,0
11,4,1100,30400,0000100110,38,0
11,5,1100,30400,0000100110,38,0
11,6,1100,30400,0000100110,38,0
11,7,1100,30400,0000100111,39,0
11,8,1100,30400,0000100111,39,0
11,9,1100,30400,0000100111,39,0
11,10,1100,30400,0000100110,38,0
11,11,1100,30400,0000100111,39,0
11,12,1100,30400,0000100110,38,0
11,13,1100,30400,0000101010,42,0
11,14,1100,30400,0000101010,42,0
11,15,1100,30400,0000100111,39,0
11,16,1100,30400,0000100111,39,0
11,17,1100,30400,0000101110,46,0
11,18,1100,30400,0000101110,46,0
11,19,1100,30400,0000101001,41,0
12,0,1200,30300,0000101101,45,0
12,1,1200,30300,0000101100,44,0
12,2,1200,30300,0000101100,44,0
12,3,1200,30300,0000101010,42,0
12,4,1200,30300,0000101010,42,0
12,5,1200,30300,0000101010,42,0
12,6,1200,30300,0000101101,45,0
12,7,1200,30300,0000101100,44,0
12,8,1200,30300,0000101101,45,0
12,9,1200,30300,0000101010,42,0
12,10,1200,30300,0000101011,43,0
12,11,1200,30300,0000101011,43,0
12,12,1200,30300,0000101011,43,0
12,13,1200,30300,0000101011,43,0
12,14,1200,30300,0000101100,44,0
12,15,1200,30300,0000101010,42,0
12,16,1200,30300,0000101010,42,0
12,17,1200,30300,0000101010,42,0
12,18,1200,30300,0000101010,42,0
12,19,1200,30300,0000101010,42,0
13,0,1300,30200,0000101110,46,0
13,1,1300,30200,0000101110,46,0
13,2,1300,30200,0000101110,46,0
13,3,1300,30200,0000101100,44,0
13,4,1300,30200,0000101100,44,0
13,5,1300,30200,0000101100,44,0
13,6,1300,30200,0000101101,45,0
13,7,1300,30200,0000101110,46,0
13,8,1300,30200,0000101110,46,0
13,9,1300,30200,0000101010,42,0
13,10,1300,30200,0000101010,42,0
13,11,1300,30200,0000101010,42,0
13,12,1300,30200,0000101101,45,0
13,13,1300,30200,0000101101,45,0
13,14,1300,30200,0000101101,45,0
13,15,1300,30200,0000101100,44,0
13,16,1300,30200,0000101101,45,0
13,17,1300,30200,0000101101,45,0
13,18,1300,30200,0000101101,45,0
13,19,1300,30200,0000101111,47,0
14,0,1400,30100,0000110101,53,0
14,1,1400,30100,0000110010,50,0
14,2,1400,30100,0000110010,50,0
14,3,1400,30100,0000111000,56,0
14,4,1400,30100,0000110011,51,0
14,5,1400,30100,0000110011,51,0
14,6,1400,30100,0000110010,50,0
14,7,1400,30100,0000110010,50,0
14,8,1400,30100,0000110101,53,0
14,9,1400,30100,0000110010,50,0
14,10,1400,30100,0000110010,50,0
14,11,1400,30100,0000110010,50,0
14,12,1400,30100,0000110101,53,0
14,13,1400,30100,0000110100,52,0
14,14,1400,30100,0000110101,53,0
14,15,1400,30100,0000110011,51,0
14,16,1400,30100,0000110011,51,0
14,17,1400,30100,0000110011,51,0
14,18,1400,30100,0000110001,49,0
14,19,1400,30100,0000110001,49,0
15,0,1500,30000,0000110101,53,0
15,1,1500,30000,0000110011,51,0
15,2,1500,30000,0000110011,51,0
15,3,1500,30000,0000110101,53,0
